area_numbe,comm_name,shape_area,shape_len,Crime_freq,population,crime_rate,gentrified,hardindex,hous_crowd,poverty,No_Work,No_HS,Age18_64,income_per,hispanic,black,white,asian,other,NBR_Q1,PC1,PC2,FBI 1,FBI 2,FBI 3,FBI 4,FBI 5,FBI 6,FBI 7,FBI 8,FBI 9,FBI 10,FBI 11,FBI 12,FBI 13,FBI 14,FBI 15,FBI 16,FBI 17,FBI 18,FBI 19,FBI 20,FBI 22,FBI 24,FBI 26,FBI1rate,FBI2rate,FBI3rate,FBI4rate,FBI5rate,FBI6rate,FBI7rate,FBI8rate,FBI9rate,FBI10rate,FBI11rate,FBI12rate,FBI13rate,FBI14rate,FBI15rate,FBI16rate,FBI17rate,FBI18rate,FBI19rate,FBI20rate,FBI22rate,FBI24rate,FBI26rate
10,Norwood Park,0.0000307,0.000337537,0.000429593,0.000583019,0.002147964,0.007978152,0.000981926,0.007211022,0.0000307,0.000245482,0.004295928,0.0000614,0,0.004234558,0.000122741,0.0000614,0.000337537,0.000521648,0,0.000276167,0,0.0000921,0.004019761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Near North Side,0.0000518,0.001088466,0.004291668,0.00238426,0.00249829,0.06111998,0.003493459,0.016928244,0.0000622,0.001368358,0.017249601,0.0000415,0.0000207,0.006592996,0.000290258,0,0.000487218,0.001440922,0.0000311,0.00022806,0.000176228,0.000445753,0.007484502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Loop,0,0.001305562,0.011750061,0.005404421,0.003248725,0.178588778,0.004493563,0.03664683,0.0000911,0.004948992,0.041838718,0.000182171,0.0000304,0.012418023,0.000364343,0.000698324,0.001032305,0.002368229,0,0.000182171,0.000273257,0.001032305,0.015848919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lake View,0,0.000506902,0.002310302,0.001023551,0.003109647,0.02205997,0.001978866,0.008480855,0.0000195,0.000497154,0.007018638,0.00000975,0.00000975,0.003908992,0.000116977,0.0000195,0.000263199,0.000380176,0,0.000116977,0.0000975,0.000214458,0.003938236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,North Center,0,0.000282438,0.001468678,0.00081907,0.003558719,0.015195165,0.001609897,0.004123595,0.0000282,0.000536632,0.004716715,0,0,0.003530475,0.000112975,0,0.000197707,0.000536632,0,0.000310682,0.0000282,0.000141219,0.003078574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lincoln Park,0.0000152,0.000441326,0.002252287,0.000973962,0.003195812,0.034073443,0.002647958,0.006863387,0.0000152,0.00057829,0.006969914,0.0000152,0.0000152,0.005935079,0.000121745,0,0.000304363,0.000456545,0,0.000106527,0.0000761,0.0001674,0.002906667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Edgewater,0.0000354,0.000318381,0.001627282,0.001273525,0.001910287,0.015653743,0.00155653,0.00895005,0.0000354,0.000389133,0.004970284,0,0.0000177,0.004174331,0.000194566,0,0.000194566,0.000583699,0,0.00024763,0.0000531,0.000194566,0.004262771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comm_name,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
